run,timestamp,solver_CSR,csr_oficial,lugares_oficiales,lugares_solution,lugares_oficiales_mapeados,relaciones_oficiales_total,relaciones_oficiales_evaluables,relaciones_oficiales_satisfechas
1,2025-11-21T02:34:25,,,,,,,,
2,2025-11-21T02:34:25,,,,,,,,
3,2025-11-21T02:34:25,,,,,,,,
4,2025-11-21T02:34:25,,,,,,,,
5,2025-11-21T02:34:25,,,,,,,,
6,2025-11-21T02:34:25,,,,,,,,
7,2025-11-21T02:34:25,,,,,,,,
8,2025-11-21T02:34:26,,,,,,,,
9,2025-11-21T02:34:26,,,,,,,,
10,2025-11-21T02:34:26,,,,,,,,
11,2025-11-21T02:34:26,,,,,,,,
12,2025-11-21T02:34:26,,,,,,,,
13,2025-11-21T02:34:26,,,,,,,,
14,2025-11-21T02:34:26,,,,,,,,
15,2025-11-21T02:34:26,,,,,,,,
1,2025-11-21T02:34:55,,,,,,,,
1,2025-11-21T02:41:32,1.0,0.35294117647058826,17,28,12,280,136,48
2,2025-11-21T02:45:25,1.0,0.5178571428571429,17,27,11,280,112,58
3,2025-11-21T02:49:23,1.0,0.4852941176470588,17,27,12,280,136,66
4,2025-11-21T02:53:20,1.0,0.2647058823529412,17,26,12,280,136,36
5,2025-11-21T02:57:01,1.0,0.5789473684210527,17,24,11,280,114,66
6,2025-11-21T03:01:17,1.0,0.30357142857142855,17,27,11,280,112,34
7,2025-11-21T03:05:21,1.0,0.6607142857142857,17,25,11,280,112,74
8,2025-11-21T03:09:07,1.0,0.35294117647058826,17,25,12,280,136,48
9,2025-11-21T03:12:32,1.0,0.425,17,29,13,280,160,68
10,2025-11-21T03:16:03,1.0,0.38235294117647056,17,26,12,280,136,52
11,2025-11-21T03:19:21,1.0,0.45652173913043476,17,26,10,280,92,42
12,2025-11-21T03:22:39,1.0,0.23529411764705882,17,26,12,280,136,32
13,2025-11-21T03:26:01,1.0,0.4,17,26,13,280,160,64
14,2025-11-21T03:29:46,1.0,0.55,17,32,13,280,160,88
15,2025-11-21T03:34:17,1.0,0.25,17,29,13,280,160,40
